RowNumber,CustomerId,CreditScore,Tenure,Balance,HasCrCard,IsActiveMember
73,15812518,657,0,163607.18,0,1
74,15779052,604,5,157780.84,1,1
75,15770811,519,9,0.0,0,1
76,15780961,735,1,178718.19,1,0
77,15614049,664,8,0.0,1,1
78,15662085,678,9,0.0,1,1
79,15575185,757,5,77253.22,0,1
80,15803136,416,10,122189.66,1,0
81,15706021,665,1,96645.54,0,0
82,15663706,777,2,0.0,1,0
83,15641732,543,3,0.0,0,0
84,15701164,506,4,90307.62,1,1
85,15738751,493,4,0.0,1,0
86,15805254,652,10,0.0,1,1
87,15762418,750,3,121681.82,1,0
88,15625759,729,9,0.0,1,0
89,15622897,646,4,0.0,1,0
90,15767954,635,3,81623.67,1,1
91,15757535,647,5,0.0,1,1
92,15731511,808,7,118626.55,1,0
93,15809248,524,10,0.0,1,0
94,15640635,769,8,0.0,1,1
95,15676966,730,4,0.0,0,1
96,15699461,515,10,176273.95,0,1
97,15738721,773,9,102827.44,0,1
98,15693683,814,8,97086.4,1,1
99,15604348,710,8,0.0,0,0
100,15633059,413,9,0.0,0,0
101,15808582,665,6,0.0,1,1
102,15743192,623,6,0.0,0,0
103,15580146,738,9,82674.15,1,0
104,15776605,528,7,0.0,1,0
105,15804919,670,1,0.0,1,1
106,15613854,622,4,107073.27,1,1
107,15599195,582,1,88938.62,1,1
108,15812878,785,2,99806.85,0,1
109,15602312,605,5,150092.8,0,0
110,15744689,479,9,92833.89,1,0
111,15803526,685,3,90536.81,0,1
112,15665790,538,7,108055.1,1,0
113,15715951,562,2,100238.35,0,0
114,15591100,675,9,106190.55,0,1
115,15609618,721,9,154475.54,0,1
116,15675522,628,9,132351.29,1,1
117,15705512,668,6,167864.4,1,0
118,15698028,506,1,0.0,1,0
119,15661670,524,8,107818.63,1,0
120,15600781,699,4,185173.81,1,0
121,15682472,828,8,129433.34,0,0
122,15580203,674,6,120193.42,0,0
123,15690673,656,6,0.0,1,0
124,15760085,684,10,126384.42,1,1
125,15779659,625,3,0.0,0,0
126,15627360,432,9,152603.45,1,0
127,15671137,549,1,0.0,0,1
128,15782688,625,0,148507.24,1,0
129,15575492,828,7,0.0,1,0
130,15591607,770,9,101827.07,1,0
131,15740404,758,3,0.0,1,1
132,15718369,795,9,130862.43,1,1
133,15677871,687,9,122570.87,1,1
134,15642004,686,1,0.0,0,1
135,15712543,789,7,124828.46,1,1
136,15584518,589,5,144895.05,1,1
137,15802381,461,5,63663.93,0,1
138,15610156,637,2,133463.1,0,1
139,15594408,584,2,213146.2,1,0
140,15640905,579,1,129490.36,0,1
141,15698932,756,10,137452.09,1,0
142,15724944,663,7,0.0,1,1
143,15628145,682,5,125851.93,1,1
144,15713483,793,2,0.0,1,0
145,15612350,691,5,40915.55,1,0
146,15800703,485,5,113157.22,1,1
147,15705707,635,8,138296.94,1,0
148,15754105,650,5,106967.18,0,0
149,15703264,735,9,120681.63,1,0
150,15794413,416,0,0.0,0,1
151,15650237,754,7,0.0,1,0
152,15759618,535,9,0.0,1,0
153,15811589,716,8,0.0,1,0
154,15689044,539,2,127609.59,1,0
155,15709368,614,6,0.0,1,1
156,15679145,706,7,0.0,1,0
157,15655007,758,7,0.0,0,0
158,15623595,586,2,0.0,1,1
159,15589975,646,6,97259.25,0,1
160,15804017,631,4,123246.7,0,0
161,15692132,717,6,101060.25,0,1
162,15641122,684,2,0.0,1,0
163,15630910,800,7,108007.36,0,0
164,15680772,721,2,0.0,1,1
165,15658929,683,0,133702.89,1,0
166,15585388,660,9,125189.75,1,1
167,15724623,704,7,113034.22,1,0
168,15588537,615,9,109013.23,1,0
169,15574692,667,2,0.0,1,0
170,15611325,682,9,57929.81,0,0
171,15587562,484,4,130114.39,1,0
172,15613172,628,5,95826.49,1,0
173,15651022,480,10,129608.57,1,0
174,15586310,578,4,169462.09,1,0
175,15625524,512,5,0.0,1,1
176,15755209,484,7,133868.21,1,1
177,15645248,510,0,0.0,1,1
178,15790355,606,5,190479.48,0,0
179,15762615,597,8,101993.12,0,1
180,15625426,754,3,161608.81,1,0
181,15716334,850,2,122311.21,1,1
182,15789669,510,2,0.0,1,1
183,15621075,778,1,162150.42,1,0
184,15810845,636,2,0.0,1,1
185,15719377,804,4,0.0,1,1
186,15654506,514,8,0.0,1,0
187,15771977,730,1,99010.67,1,0
188,15708710,525,0,0.0,0,1
189,15726676,616,5,0.0,0,1
190,15587421,687,7,111388.18,1,0
191,15726931,715,8,56214.85,0,0
192,15771086,512,3,84327.77,1,0
193,15756850,479,1,0.0,0,0
194,15702741,601,8,93012.89,1,0
195,15679200,580,9,61710.44,1,0
196,15594815,807,3,174790.15,1,1
197,15635905,616,6,0.0,1,1
198,15777892,721,3,107720.64,1,1
199,15656176,501,10,0.0,1,1
200,15811127,521,6,96423.84,1,0
201,15604482,850,2,141040.01,1,1
202,15622911,759,4,105420.18,0,1
203,15600974,516,5,0.0,0,1
204,15727868,711,2,129022.06,1,1
205,15627801,512,3,176666.62,1,0
206,15773039,550,3,0.0,1,1
207,15755262,608,3,89763.84,0,0
208,15679531,618,5,134954.53,1,1
209,15684181,643,5,0.0,1,0
210,15612087,671,2,106376.85,0,1
211,15752047,689,2,161814.64,1,0
212,15624592,603,8,0.0,1,1
213,15573152,620,9,0.0,0,0
214,15594917,676,1,63095.01,1,1
215,15785542,572,4,118287.01,0,0
216,15723488,668,7,106854.21,0,1
217,15680920,695,7,49512.55,1,0
218,15786308,730,9,0.0,0,0
219,15659366,807,1,105799.32,1,0
220,15774854,592,8,0.0,1,1
221,15725311,726,9,114722.05,1,1
222,15787155,514,7,0.0,0,1
223,15727829,567,2,0.0,1,1
224,15733247,850,10,0.0,1,0
225,15568748,671,6,99564.22,1,1
226,15699029,670,4,170557.91,1,0
227,15774393,694,9,0.0,1,1
228,15676895,547,6,74596.15,1,1
229,15637753,751,2,96888.39,1,0
230,15605461,594,3,130830.22,1,0
231,15808473,673,1,0.0,0,1
232,15627000,610,0,0.0,1,0
233,15787174,512,1,0.0,0,1
234,15723886,767,3,119714.25,0,1
235,15704769,585,5,113978.97,0,1
236,15772896,763,6,100160.75,1,0
237,15711540,712,2,0.0,1,1
238,15764866,539,3,116220.5,1,0
239,15794056,668,2,0.0,1,0
240,15795149,703,2,81173.83,0,1
241,15812009,662,4,0.0,1,0
242,15651001,725,5,116803.8,1,0
243,15813844,703,8,105961.68,0,1
244,15596175,659,6,117411.6,1,1
245,15576269,523,7,0.0,1,0
246,15797219,635,10,123497.58,1,0
247,15685500,772,7,152400.51,1,0
248,15599792,545,1,0.0,1,1
249,15657566,634,8,103097.85,1,1
250,15772423,739,8,126418.14,1,0
251,15628112,771,5,77846.9,0,0
252,15753754,587,1,0.0,1,1
253,15793726,681,0,0.0,0,1
254,15694717,544,2,79731.91,1,1
255,15665834,696,8,0.0,0,0
256,15765297,766,0,0.0,0,1
257,15636684,727,10,0.0,1,1
258,15592979,671,6,37266.67,0,0
259,15750803,693,6,127992.25,1,1
260,15607178,850,3,54901.01,1,1
261,15713853,732,9,108748.08,1,1
262,15673481,726,6,99906.19,1,0
263,15686776,557,6,184686.41,1,0
264,15673693,682,0,110654.02,0,1
265,15700696,738,9,79019.8,1,1
266,15813163,531,9,99240.51,1,0
267,15653857,498,2,0.0,1,1
268,15777076,651,7,0.0,1,0
269,15717398,549,7,0.0,0,0
270,15799217,791,7,52436.2,1,0
271,15787071,650,9,0.0,0,1
272,15619955,733,3,100337.96,1,0
273,15796505,811,1,149297.19,1,1
274,15725166,707,8,0.0,1,0
275,15800116,712,4,145605.44,0,1
276,15758685,706,7,0.0,1,1
277,15694456,756,3,0.0,1,1
278,15767339,777,10,0.0,1,0
279,15683562,646,6,84026.86,0,1
280,15782210,714,1,0.0,1,0
281,15668893,782,8,0.0,1,1
282,15669169,775,10,0.0,1,1
283,15643024,479,4,138718.92,1,1
284,15699389,807,7,118274.71,1,1
285,15708608,799,8,174185.98,0,1
286,15626144,675,7,113208.86,1,0
287,15573112,602,5,103907.28,1,0
288,15790678,475,8,119023.28,1,0
289,15727556,744,5,166297.89,1,1
290,15697307,588,10,0.0,1,0
291,15652266,703,9,63227.0,0,1
292,15607098,747,5,94521.17,1,0
293,15655774,583,7,0.0,1,0
294,15590241,750,9,112822.26,0,0
295,15785819,681,3,0.0,1,1
296,15723654,773,2,135903.33,1,0
297,15774510,714,4,125169.26,1,1
298,15684173,687,7,0.0,1,0
299,15650068,511,0,149117.31,1,1
300,15811490,627,5,0.0,1,1
301,15803976,694,10,0.0,1,0
302,15682541,616,6,132311.71,0,0
303,15695699,687,8,0.0,1,0
304,15624188,712,6,0.0,1,1
305,15812191,553,4,118082.89,0,0
306,15636673,667,1,119266.69,1,1
307,15594898,731,2,0.0,1,1
308,15660211,629,7,156847.29,1,0
309,15773972,614,4,137104.47,1,0
310,15746726,438,8,78398.69,1,0
311,15712287,652,4,0.0,1,1
312,15702919,729,6,63669.42,1,0
313,15674398,642,3,0.0,0,0
314,15797960,806,0,135296.33,1,0
315,15631868,744,2,153804.44,1,1
316,15581539,474,3,0.0,0,0
317,15662736,559,2,147069.78,1,0
318,15666252,706,9,0.0,1,1
319,15677512,628,3,0.0,1,0
320,15626114,429,4,95741.75,1,0
321,15810834,525,2,145965.33,1,1
322,15678910,680,8,141441.75,1,1
323,15694408,749,1,139290.41,1,0
324,15585215,763,4,0.0,0,0
325,15682757,734,3,0.0,1,0
326,15736601,716,4,144428.87,1,0
327,15601848,594,2,0.0,1,0
328,15736008,644,9,95441.27,1,0
329,15669064,671,1,144848.74,1,1
330,15624528,664,7,116244.14,1,1
331,15598493,656,7,0.0,0,1
332,15601274,667,1,146502.07,1,0
333,15702669,663,2,117028.6,0,1
334,15728669,584,8,112013.81,1,0
335,15742668,626,6,108269.37,1,0
336,15697441,485,7,182123.79,1,0
337,15740476,659,3,150923.74,0,1
338,15648064,649,2,0.0,1,0
339,15636624,805,5,165272.13,1,0
340,15807923,716,10,115301.31,1,0
341,15745844,642,6,129502.49,0,1
342,15786170,659,4,118342.26,0,0
343,15681081,545,5,0.0,1,1
344,15684484,543,8,0.0,0,0
345,15785869,718,7,0.0,1,0
346,15763859,840,7,0.0,1,0
347,15658935,630,9,106937.05,1,0
348,15747358,643,3,170331.37,1,1
349,15735203,654,1,114510.85,1,1
350,15576256,582,5,0.0,1,1
351,15659420,659,3,107594.11,1,1
352,15593365,762,2,81273.13,1,1
353,15777352,568,7,169399.6,1,0
354,15812007,670,6,0.0,1,1
355,15625461,613,1,187841.99,1,1
356,15739438,539,0,0.0,1,0
357,15611759,850,8,126776.3,1,1
358,15661629,522,9,126436.29,1,0
359,15633950,737,1,101960.74,1,1
360,15592386,520,3,0.0,0,1
361,15803716,706,3,0.0,0,1
362,15696674,643,2,150842.93,0,1
363,15706365,648,9,102535.57,1,1
364,15745088,443,9,99027.61,1,0
365,15676715,640,9,0.0,1,1
366,15613085,628,3,0.0,1,1
367,15633537,540,9,87271.41,1,0
368,15594720,460,8,102742.91,1,1
369,15684042,636,2,40105.51,0,1
370,15583303,593,2,152265.43,1,0
371,15611579,801,4,141947.67,1,1
372,15774696,640,1,106307.91,0,1
373,15694506,611,0,107884.81,1,1
374,15688074,802,1,125013.72,1,1
375,15759537,717,7,58469.37,1,1
376,15758449,769,8,0.0,0,1
377,15583456,745,10,117231.63,1,1
378,15667871,572,4,152390.26,1,0
379,15677371,629,2,34013.63,1,0
380,15629677,687,2,0.0,0,0
381,15713578,483,9,0.0,1,1
382,15591509,690,7,101583.11,1,0
383,15568240,492,10,77168.87,0,1
384,15622993,709,8,124695.72,1,0
385,15689294,705,3,105934.96,1,0
386,15720910,560,9,0.0,1,1
387,15721181,611,6,0.0,1,0
388,15776433,730,2,0.0,1,1
389,15748936,709,2,0.0,0,1
390,15717225,544,10,161525.96,1,0
391,15685226,712,7,147199.07,1,1
392,15785611,752,3,183102.29,1,1
393,15573456,648,9,127209.0,1,0
394,15684548,556,8,0.0,0,0
395,15620505,594,0,97378.54,1,1
396,15807432,645,2,136925.09,0,1
397,15584766,557,3,54503.55,1,1
398,15612187,547,8,155726.85,1,0
399,15762218,701,9,0.0,0,1
400,15646372,616,1,135842.41,1,0
401,15690452,605,1,63349.75,1,0
402,15747795,593,4,129499.42,1,1
403,15781589,751,8,0.0,0,1
404,15732674,443,6,70438.01,0,1
405,15642291,685,8,0.0,1,1
406,15692761,718,9,0.0,1,0
407,15578045,538,9,141434.04,0,0
408,15745354,611,4,0.0,1,0
409,15701376,668,10,152958.29,1,1
410,15691625,537,3,138306.34,1,0
411,15566594,709,10,0.0,0,0
412,15760431,850,1,0.0,1,1
413,15686302,745,3,124328.84,1,1
414,15801559,693,9,181461.48,1,1
415,15810432,795,8,0.0,1,0
416,15809616,626,8,0.0,0,0
417,15720559,487,5,110368.03,0,0
418,15695632,556,9,89588.35,1,1
419,15659843,643,6,0.0,0,0
420,15615624,605,6,0.0,0,0
421,15810418,756,3,115924.89,1,0
422,15716186,586,2,0.0,1,0
423,15674551,535,7,111756.5,1,0
424,15622834,678,4,0.0,1,0
425,15566111,596,9,0.0,1,0
426,15784597,648,9,162923.85,1,0
427,15652883,492,10,124576.65,1,0
428,15806964,702,0,80793.58,1,1
429,15576313,486,9,71340.09,1,0
430,15806467,568,1,99282.63,0,0
431,15597602,619,3,137946.39,1,1
432,15743040,724,2,127892.57,0,1
433,15705521,548,0,101084.36,1,0
434,15595039,545,8,114754.08,1,0
435,15799384,683,8,0.0,0,0
436,15581197,762,3,99286.98,0,1
437,15693737,627,4,79871.02,1,0
438,15624623,516,10,104088.59,0,0
439,15783501,800,2,168190.33,1,0
440,15690134,464,3,85679.25,1,1
441,15782735,626,3,0.0,0,0
442,15611088,790,9,0.0,1,0
443,15672145,534,7,121551.58,1,1
444,15732628,745,2,122220.19,1,1
445,15787470,553,3,116528.15,0,0
446,15803406,748,1,77780.29,0,1
447,15730460,722,2,0.0,0,0
448,15644572,501,4,125832.2,1,1
449,15694860,675,6,68065.8,0,0
450,15658169,778,6,127299.34,1,0
451,15794396,494,7,174937.64,1,0
452,15785798,850,9,0.0,0,1
453,15710825,592,7,110071.1,0,0
454,15668444,590,3,139432.37,1,0
455,15726631,758,6,127357.76,0,1
456,15733797,506,5,0.0,1,0
457,15747960,733,3,0.0,1,1
458,15634632,711,3,0.0,1,0
459,15707362,514,1,95556.31,0,1
460,15662976,637,8,0.0,1,1
461,15732778,468,1,111681.98,1,1
462,15718443,539,3,0.0,1,0
463,15670039,509,3,108738.71,1,0
464,15773792,662,4,133950.37,1,1
465,15613786,818,4,0.0,1,1
466,15726032,608,9,89968.69,1,0
467,15663252,850,9,0.0,1,1
468,15593782,816,5,130878.75,1,0
469,15633283,536,8,0.0,1,0
470,15749167,753,3,0.0,1,1
471,15759298,631,10,134169.62,1,1
472,15683625,703,1,149762.08,1,0
473,15635367,774,2,93844.69,1,0
474,15681705,785,8,0.0,1,0
475,15603156,571,1,0.0,1,0
476,15591986,621,6,141078.37,0,0
477,15798888,605,1,117992.59,1,1
478,15809722,611,8,100812.33,1,0
479,15677538,569,7,0.0,1,1
480,15797736,658,4,80262.6,1,1
481,15695585,788,6,156478.62,0,1
482,15744398,525,5,0.0,1,0
483,15750658,798,8,0.0,0,0
484,15578186,486,9,115217.99,1,0
485,15676519,615,9,0.0,1,0
486,15637954,730,0,155470.55,1,1
487,15758639,641,7,0.0,1,0
488,15613772,542,3,135096.77,1,1
489,15731744,692,2,0.0,0,1
490,15807709,714,9,180075.22,1,1
491,15714689,591,1,97541.24,1,1
492,15699005,710,2,156067.05,1,1
493,15624170,639,4,81550.94,0,1
494,15725679,531,6,0.0,0,0
495,15585865,673,2,170061.92,0,0
496,15804256,765,8,92310.54,1,1
497,15662403,622,6,169089.38,1,0
498,15733616,806,5,80613.93,1,1
499,15591995,757,8,121581.56,1,1
500,15677020,570,8,0.0,0,1
501,15727688,555,4,0.0,1,1
502,15715941,692,5,0.0,1,1
503,15714485,774,5,85891.55,1,0
504,15730059,638,9,77637.35,1,1
505,15715527,543,4,0.0,0,0
506,15576623,584,5,0.0,1,0
507,15805565,691,7,116927.89,1,0
508,15677307,684,6,137326.65,1,0
509,15773890,733,5,0.0,1,1
510,15598883,599,2,0.0,1,1
511,15568506,524,10,67238.98,1,1
512,15761043,632,6,86569.76,1,0
513,15782236,735,5,0.0,0,0
514,15593601,734,6,133598.4,1,1
515,15682048,605,3,136188.78,1,1
516,15746902,793,9,0.0,1,0
517,15752081,468,10,0.0,0,1
518,15781307,779,7,120092.52,1,0
519,15775912,698,4,101238.24,0,1
520,15745417,707,6,89685.92,0,1
521,15671256,850,1,211774.31,1,0
522,15653547,850,7,131317.48,1,1
523,15595766,527,5,93722.73,1,1
524,15742358,696,8,101160.99,1,1
525,15763274,661,3,120320.54,0,0
526,15786063,776,2,0.0,1,1
527,15600258,701,2,0.0,1,1
528,15573318,610,8,0.0,1,0
529,15653849,572,3,152827.99,1,0
530,15694272,673,1,64097.75,1,1
531,15736112,519,2,119035.35,1,1
532,15749851,702,4,135219.57,0,1
533,15663478,729,6,93694.42,1,1
534,15592300,543,10,59408.63,1,0
535,15567832,550,7,114354.95,1,0
536,15776780,608,1,0.0,1,0
537,15592846,639,10,128173.9,1,0
538,15739803,686,9,0.0,1,0
539,15794142,564,5,114931.35,0,1
540,15762729,745,1,111071.36,1,0
541,15667896,833,8,151226.18,1,1
542,15626578,622,9,0.0,1,1
543,15776223,597,4,64740.12,1,1
544,15705953,721,0,169312.13,1,0
545,15802593,504,7,0.0,0,1
546,15615457,842,2,112652.08,1,0
547,15708916,587,0,0.0,1,0
548,15720187,479,7,143964.36,1,0
549,15595440,508,7,122451.46,1,1
550,15600651,749,1,0.0,1,1
551,15750141,721,3,65253.07,1,0
552,15657284,674,6,106901.94,1,1
553,15763063,685,10,128509.63,1,0
554,15709324,417,7,0.0,1,0
555,15711309,574,3,129834.67,1,0
556,15775318,590,3,154962.99,0,1
557,15705515,587,5,138241.9,1,0
558,15634844,598,3,91536.93,1,0
559,15717046,741,3,0.0,1,1
560,15571816,850,5,0.0,1,1
561,15670080,584,7,105204.01,0,1
562,15800440,650,1,152968.73,0,1
563,15665678,607,8,158261.68,1,1
564,15665956,509,1,0.0,1,0
565,15788126,689,6,121021.05,1,1
566,15811773,543,4,0.0,1,1
567,15651674,438,2,0.0,0,0
568,15689614,687,1,137715.66,1,1
569,15795564,737,5,121192.22,1,1
570,15706647,761,7,0.0,1,1
571,15728505,601,1,100486.18,1,1
572,15730076,651,1,0.0,1,0
573,15622003,745,9,92566.53,1,0
574,15607312,648,10,0.0,1,1
575,15644753,848,3,110929.96,1,1
576,15653620,546,8,0.0,1,1
577,15761986,439,3,138901.61,1,0
578,15633922,755,4,123217.66,0,1
579,15734674,593,6,0.0,1,0
580,15658032,701,2,0.0,1,1
581,15692671,701,8,0.0,1,0
582,15737741,607,2,108431.87,0,1
583,15576352,586,3,0.0,0,1
584,15753719,547,9,72392.41,1,0
585,15803689,647,1,119741.77,0,0
586,15718057,760,2,100946.71,0,0
587,15722010,621,9,170491.84,1,0
588,15680998,725,5,0.0,1,1
589,15614782,526,1,0.0,1,0
590,15591047,519,6,157296.02,0,0
591,15788291,713,7,144606.22,1,1
592,15604044,700,8,134811.3,1,0
593,15679587,666,9,115897.12,1,1
594,15775153,630,4,82034.0,0,0
595,15603925,779,4,174318.13,0,1
596,15680970,611,2,114206.84,1,0
597,15697183,685,9,0.0,1,0
598,15567446,646,9,111574.41,1,1
599,15637476,683,5,162448.69,0,0
600,15714939,484,4,148249.54,0,1
601,15683503,601,8,0.0,0,1
602,15645569,762,7,123709.46,1,1
603,15782569,687,9,0.0,0,1
604,15592387,566,5,0.0,1,0
605,15609286,702,10,150525.8,1,1
606,15814035,601,9,0.0,1,1
607,15661249,699,4,0.0,0,1
608,15629117,584,10,0.0,1,0
609,15607170,699,5,0.0,1,1
610,15586585,698,2,111018.98,1,0
611,15686611,495,10,129755.99,0,0
612,15603203,650,6,0.0,1,0
613,15619857,605,2,129555.7,1,1
614,15805062,667,1,87202.38,1,1
615,15660271,688,8,146133.39,1,1
616,15745295,727,0,0.0,1,0
617,15719352,754,6,170184.99,1,0
618,15766575,612,8,140745.33,1,0
619,15594594,546,7,139070.51,1,1
620,15646161,673,8,0.0,1,1
621,15682585,593,9,114193.24,1,0
622,15603134,656,10,167878.5,0,1
623,15636444,535,5,141616.55,1,1
624,15773456,678,3,145747.67,0,1
625,15745307,477,2,129120.64,0,1
626,15604119,850,7,110349.82,0,0
627,15626900,427,1,141325.56,1,1
628,15605447,752,2,78653.84,1,0
629,15589030,649,1,0.0,1,1
630,15692463,799,3,142253.65,1,0
631,15712403,589,1,0.0,1,0
632,15811762,583,6,115988.86,1,0
633,15718673,839,10,75592.43,1,0
634,15724282,540,3,164113.04,1,1
635,15738181,850,6,67996.23,0,0
636,15633648,696,5,0.0,1,0
637,15603323,660,1,0.0,0,0
638,15583725,682,1,138778.15,0,1
639,15588350,744,10,147832.15,0,1
640,15798398,785,4,135438.4,0,0
641,15784844,752,5,116060.08,1,0
642,15580684,706,5,112564.62,1,0
643,15809663,583,1,125406.58,1,1
644,15640078,660,5,135134.99,1,0
645,15698786,819,9,133102.92,1,0
646,15569807,673,8,42157.08,1,0
647,15730830,752,3,0.0,1,1
648,15805112,578,7,82259.29,1,0
649,15633064,438,4,0.0,1,0
650,15703119,652,6,0.0,1,1
651,15730447,629,4,0.0,1,1
652,15813850,720,7,0.0,1,1
653,15711889,668,3,150461.07,1,0
654,15664610,459,4,133994.52,1,1
655,15751710,729,8,164870.81,1,1
656,15692926,498,8,121702.73,1,1
657,15813741,549,6,193858.2,0,1
658,15698474,601,1,131039.97,1,1
659,15568595,544,9,113829.45,1,1
660,15603065,751,6,0.0,1,0
661,15592937,632,3,81877.38,1,1
662,15699637,694,8,116326.07,1,1
663,15667215,678,2,0.0,1,1
664,15788659,695,4,0.0,1,1
665,15763218,661,1,0.0,0,1
666,15645772,661,9,0.0,1,1
667,15725511,559,3,127070.73,0,1
668,15575024,503,3,0.0,1,1
669,15640825,695,3,122549.64,1,1
670,15662397,640,5,176099.13,1,1
671,15576368,624,3,122388.38,0,0
672,15674991,667,9,0.0,0,1
673,15721024,642,0,0.0,0,0
674,15745621,640,6,118879.35,1,1
675,15642394,529,5,0.0,1,1
676,15754605,563,5,0.0,1,1
677,15607040,593,4,88736.44,1,0
678,15715142,739,7,102703.62,0,1
679,15810978,788,1,0.0,1,1
680,15668886,684,3,0.0,1,0
681,15780804,482,5,97318.25,0,1
682,15613880,591,5,128468.69,0,1
683,15775238,651,4,133432.59,0,1
684,15786905,749,8,141782.57,0,0
685,15747867,583,9,135125.28,0,0
686,15600337,661,2,178820.91,0,0
687,15801277,715,2,112212.14,1,1
688,15579334,769,5,126674.81,1,0
689,15802741,625,7,136294.97,1,0
690,15720649,641,5,66392.64,1,0
691,15589493,716,1,122552.34,1,0
692,15688251,767,1,76408.85,1,0
693,15665238,745,8,145071.24,0,0
694,15740900,589,6,0.0,1,1
695,15681068,796,2,109730.22,1,1
696,15748625,664,6,0.0,1,1
697,15727299,445,1,64119.38,1,1
698,15620204,543,1,106138.33,1,1
699,15669516,746,2,0.0,1,1
700,15736534,742,0,181656.51,1,1
701,15803457,750,5,0.0,1,0
702,15659098,669,7,95128.86,0,0
703,15603436,594,2,126615.94,0,1
704,15566292,574,1,0.0,0,1
705,15808621,659,2,76190.48,1,1
706,15580148,750,5,168286.81,1,0
707,15776231,626,4,88109.81,1,1
708,15773809,620,4,0.0,1,0
709,15649423,580,8,0.0,0,1
710,15734886,686,3,123971.51,1,0
711,15722548,540,0,148116.48,0,0
712,15650288,634,6,116269.01,1,0
713,15629448,632,1,120599.21,1,0
714,15716164,501,3,144260.5,1,0
715,15807609,650,3,86605.5,1,0
716,15578977,786,9,0.0,1,0
717,15677369,554,4,58629.97,0,0
718,15804072,701,5,0.0,0,0
719,15696859,474,10,0.0,0,0
720,15653780,621,5,0.0,1,1
721,15721658,672,2,209767.31,1,1
722,15578761,459,6,129634.25,1,1
723,15736879,669,1,0.0,0,0
724,15571973,776,2,169824.46,1,0
725,15626742,694,3,97530.25,1,1
726,15672692,787,10,145988.65,1,1
727,15673570,580,9,0.0,0,1
728,15767432,711,7,0.0,1,1
729,15654238,673,5,137494.28,1,0
730,15612525,499,1,0.0,0,0
731,15812750,591,6,147360.0,1,1
732,15790757,769,10,0.0,0,0
733,15723873,657,3,125167.02,0,0
734,15744607,738,9,121152.05,1,0
735,15612966,545,7,128981.07,0,1
736,15784209,497,6,0.0,1,1
737,15794278,816,6,151858.98,1,1
738,15766741,525,2,114628.4,0,1
739,15661036,725,6,0.0,1,0
740,15705639,692,8,95059.02,1,0
741,15637414,618,7,128736.39,0,1
742,15716835,546,8,156325.38,1,1
743,15696231,635,7,105405.97,1,1
744,15641675,611,2,88915.37,0,0
745,15670755,650,8,0.0,1,1
746,15640059,606,5,0.0,1,1
